P_hc,T_hc,z_c3,P_w,T_w,HC.xvap,HC.xliq,HC.Pbubl,HC.Pdew,HC.K_c[1],HC.K_c[2],HC.K_c[3],"HC.x_pc[2,1]","HC.x_pc[3,1]",HC.H_p[1],HC.MW_p[1],Fm_hc,W.h,W.s,W.d,W.cp,W.Tsat,W.dTsup,W.phase,W.Fv
400000.0,325,0.6,4000000.0,500,1,0,1248024.38173826,666875.2981605728,1.052425314125221,1.091482727948045,1.128374894988723,0,0.6000000000000002,2427.744558619702,51.1101,5.11101,975761.4190809189,2578.336164146443,832.5922325053128,4646.933298492373,523.5075191240662,-23.50751912406622,1,0.002163757875303628
400000.0,325,0.6,4000000.0,600,1,0,1248024.38173826,666875.2981605728,1.052425314125221,1.091482727948045,1.128374894988723,0,0.6000000000000002,2427.744558619702,51.1101,5.11101,3034300.175789314,6487.762555113418,15.85715093340577,2609.817655823644,523.5075191240662,76.49248087593378,3,0.113609816010818
400000.0,325,0.6,4000000.0,700,1,0,1248024.38173826,666875.2981605728,1.052425314125221,1.091482727948045,1.128374894988723,0,0.6000000000000002,2427.744558619702,51.1101,5.11101,3277333.160851409,6862.901863542406,12.98465919992064,2328.339627785634,523.5075191240662,176.4924808759338,3,0.1387428019682651
500000.0,305,0.4,1000000.0,500,0.1674890944522298,0.8325109055477702,571501.9617800997,209202.6930844078,2.119841607151436,0.6528299888251123,0.226443780065414,0.3368247302943956,0.7140150775956206,-16266.60446702986,56.72070000000001,5.672070000000001,2891276.467390902,6825.047542542925,4.532542418073724,2281.917775791725,453.0356323914667,46.96436760853328,3,0.3974652267602226
500000.0,305,0.4,1000000.0,600,0.1674890944522298,0.8325109055477702,571501.9617800997,209202.6930844078,2.119841607151436,0.6528299888251123,0.226443780065414,0.3368247302943956,0.7140150775956206,-16266.60446702986,56.72070000000001,5.672070000000001,3108976.697284031,7222.370703971835,3.687216989430921,2127.248912137244,453.0356323914667,146.9643676085333,3,0.488587464519696
500000.0,305,0.4,1000000.0,700,0.1674890944522298,0.8325109055477702,571501.9617800997,209202.6930844078,2.119841607151436,0.6528299888251123,0.226443780065414,0.3368247302943956,0.7140150775956206,-16266.60446702986,56.72070000000001,5.672070000000001,3321634.071576465,7550.146125775507,3.130621729148443,2136.382814265179,453.0356323914667,246.9643676085333,3,0.5754537455695843
500000.0,305,0.4,4000000.0,500,0.1674890944522298,0.8325109055477702,571501.9617800997,209202.6930844078,2.119841607151436,0.6528299888251123,0.226443780065414,0.3368247302943956,0.7140150775956206,-16266.60446702986,56.72070000000001,5.672070000000001,975761.4190809189,2578.336164146443,832.5922325053128,4646.933298492373,523.5075191240662,-23.50751912406622,1,0.002163757875303628
500000.0,305,0.4,4000000.0,600,0.1674890944522298,0.8325109055477702,571501.9617800997,209202.6930844078,2.119841607151436,0.6528299888251123,0.226443780065414,0.3368247302943956,0.7140150775956206,-16266.60446702986,56.72070000000001,5.672070000000001,3034300.175789314,6487.762555113418,15.85715093340577,2609.817655823644,523.5075191240662,76.49248087593378,3,0.113609816010818
500000.0,305,0.4,4000000.0,700,0.1674890944522298,0.8325109055477702,571501.9617800997,209202.6930844078,2.119841607151436,0.6528299888251123,0.226443780065414,0.3368247302943956,0.7140150775956206,-16266.60446702986,56.72070000000001,5.672070000000001,3277333.160851409,6862.901863542406,12.98465919992064,2328.339627785634,523.5075191240662,176.4924808759338,3,0.1387428019682651
500000.0,305,0.5,1000000.0,500,0.4646633711184996,0.5353366288815004,676514.3794149992,268511.5840885437,2.108176255970597,0.6500471420957853,0.2288010774685592,0.3300484894602393,0.6958003887990387,-10180.14914341513,53.9154,5.39154,2891276.467390902,6825.047542542925,4.532542418073724,2281.917775791725,453.0356323914667,46.96436760853328,3,0.3974652267602226
500000.0,305,0.5,1000000.0,600,0.4646633711184996,0.5353366288815004,676514.3794149992,268511.5840885437,2.108176255970597,0.6500471420957853,0.2288010774685592,0.3300484894602393,0.6958003887990387,-10180.14914341513,53.9154,5.39154,3108976.697284031,7222.370703971835,3.687216989430921,2127.248912137244,453.0356323914667,146.9643676085333,3,0.488587464519696
500000.0,305,0.5,1000000.0,700,0.4646633711184996,0.5353366288815004,676514.3794149992,268511.5840885437,2.108176255970597,0.6500471420957853,0.2288010774685592,0.3300484894602393,0.6958003887990387,-10180.14914341513,53.9154,5.39154,3321634.071576465,7550.146125775507,3.130621729148443,2136.382814265179,453.0356323914667,246.9643676085333,3,0.5754537455695843
500000.0,305,0.5,4000000.0,500,0.4646633711184996,0.5353366288815004,676514.3794149992,268511.5840885437,2.108176255970597,0.6500471420957853,0.2288010774685592,0.3300484894602393,0.6958003887990387,-10180.14914341513,53.9154,5.39154,975761.4190809189,2578.336164146443,832.5922325053128,4646.933298492373,523.5075191240662,-23.50751912406622,1,0.002163757875303628
500000.0,305,0.5,4000000.0,600,0.4646633711184996,0.5353366288815004,676514.3794149992,268511.5840885437,2.108176255970597,0.6500471420957853,0.2288010774685592,0.3300484894602393,0.6958003887990387,-10180.14914341513,53.9154,5.39154,3034300.175789314,6487.762555113418,15.85715093340577,2609.817655823644,523.5075191240662,76.49248087593378,3,0.113609816010818
500000.0,305,0.5,4000000.0,700,0.4646633711184996,0.5353366288815004,676514.3794149992,268511.5840885437,2.108176255970597,0.6500471420957853,0.2288010774685592,0.3300484894602393,0.6958003887990387,-10180.14914341513,53.9154,5.39154,3277333.160851409,6862.901863542406,12.98465919992064,2328.339627785634,523.5075191240662,176.4924808759338,3,0.1387428019682651
500000.0,305,0.6,1000000.0,500,0.8045350538749881,0.1954649461250119,781526.7970498987,374754.2976166648,2.09192565990895,0.6463474377285013,0.2327404197661132,0.3194050600163599,0.6681716409529811,-3304.615023535458,51.1101,5.11101,2891276.467390902,6825.047542542925,4.532542418073724,2281.917775791725,453.0356323914667,46.96436760853328,3,0.3974652267602226
500000.0,305,0.6,1000000.0,600,0.8045350538749881,0.1954649461250119,781526.7970498987,374754.2976166648,2.09192565990895,0.6463474377285013,0.2327404197661132,0.3194050600163599,0.6681716409529811,-3304.615023535458,51.1101,5.11101,3108976.697284031,7222.370703971835,3.687216989430921,2127.248912137244,453.0356323914667,146.9643676085333,3,0.488587464519696
500000.0,305,0.6,1000000.0,700,0.8045350538749881,0.1954649461250119,781526.7970498987,374754.2976166648,2.09192565990895,0.6463474377285013,0.2327404197661132,0.3194050600163599,0.6681716409529811,-3304.615023535458,51.1101,5.11101,3321634.071576465,7550.146125775507,3.130621729148443,2136.382814265179,453.0356323914667,246.9643676085333,3,0.5754537455695843
500000.0,305,0.6,4000000.0,500,0.8045350538749881,0.1954649461250119,781526.7970498987,374754.2976166648,2.09192565990895,0.6463474377285013,0.2327404197661132,0.3194050600163599,0.6681716409529811,-3304.615023535458,51.1101,5.11101,975761.4190809189,2578.336164146443,832.5922325053128,4646.933298492373,523.5075191240662,-23.50751912406622,1,0.002163757875303628
